Group Of ShortName,SectionEstimate,v2_61,v2_73,v2_81,v2_9,Code,CodeList
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon03,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon04,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon05,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon06,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon07,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon08,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon09,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABPrevCon10,J,,Yes,,,,
,,,,,,1,"""Yes - Diseased"""
,,,,,,2,"""Yes - No disease"""
,,,,,,3,"""No previous conduit"""
CABProxTech01,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech02,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech03,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech04,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech05,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech06,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech07,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech08,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech09,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
CABProxTech10,J,,Yes,,,,
,,,,,,1,"""Running"""
,,,,,,2,"""Interrupted"""
,,,,,,3,"""Anastomotic Device"""
,,,,,,4,"""Anastomotic Assist Device"""
,,,,,,5,"""In Situ Mammary"""
DistArt,J,Yes,Yes,Yes,,,
,,,,,,,
HybrProc,J,,Yes,,,,
,,,,,,1,"""Angioplasty"""
,,,,,,2,"""Stent"""
HybrStat,J,,Yes,,,,
,,,,,,1,"""Planned - concurrent"""
,,,,,,2,"""Planned - staged"""
,,,,,,3,"""Unplanned"""
IMAArtUs,J,Yes,Yes,Yes,,,
,,,,,,1,"""Left IMA"""
,,,,,,2,"""Right IMA"""
,,,,,,3,"""Both IMAs"""
,,,,,,4,"""No IMA"""
IMATechn,J,Yes,Yes,Yes,,,
,,,,,,2,"""Direct Vision"" OR ""Direct Vision (open)"""
,,,,,,3,"""Thoracoscopy"""
,,,,,,4,"""Combination"""
,,,,,,5,"""Robotic Assisted"""
NumGEPDA,J,Yes,,,,,
,,,,,,,
NumRadArtUs,J,,Yes,Yes,,,
,,,,,,,
RadArtUs,J,Yes,,,,,
,,,,,,1,"""No Radial"""
,,,,,,2,"""Left Radial"""
,,,,,,3,"""Right Radial"""
,,,,,,4,"""Both Radials"""
RadHrvstT,J,Yes,Yes,,,,
,,,,,,,
RadPrepT,J,,Yes,,,,
,,,,,,,
SaphHrvstT,J,Yes,Yes,,,,
,,,,,,,
SaphPrepT,J,,Yes,,,,
,,,,,,,
ValExp,K,,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
ValExpPos,K,,Yes,Yes,Yes,,
,,,,,,1,"""Aortic"""
,,,,,,2,"""Mitral"""
,,,,,,3,"""Tricuspid"""
,,,,,,4,"""Pulmonic"""
ValExpTyp,K,,Yes,Yes,Yes,,
,,,,,,-9,"""Unknown"""
,,,,,,2,"""Mechanical Valve"""
,,,,,,3,"""Bioprosthetic Valve"""
,,,,,,4,"""Annuloplasty Device"""
,,,,,,5,"""Mitral Clip"" OR ""Leaflet clip"""
,,,,,,6,"""Transcatheter Device"""
,,,,,,7,"""Homograft"""
,,,,,,9,"""Other"""
ValExpEt,K,,,Yes,Yes,,
,,,,,,-9,"""Unknown"""
,,,,,,1,"""Endocarditis"""
,,,,,,2,"""Failed repair"""
,,,,,,3,"""Hemolysis"""
,,,,,,4,"""Incompetence"""
,,,,,,5,"""Pannus"""
,,,,,,6,"""Para-valvular leak"""
,,,,,,7,"""Prosthetic deterioration"""
,,,,,,8,"""Sizing/positioning issue"""
,,,,,,9,"""Stenosis"""
,,,,,,10,"""Thrombosis"""
,,,,,,11,"""Other"""
ValExpDevKnown,K,,,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
ValExpDev,K,,Yes,Yes,Yes,,
,,,,,,2,"""ATS Mechanical Prosthesis"""
,,,,,,3,"""Björk-Shiley Convex-Concave Mechanical Prosthesis"""
,,,,,,4,"""Björk-Shiley Monostrut Mechanical Prosthesis"""
,,,,,,6,"""CarboMedics Mechanical Prosthesis"""
,,,,,,8,"""Medtronic-Hall/Hall Easy-Fit Mechanical Prosthesis"""
,,,,,,9,"""OmniCarbon Mechanical Prosthesis"""
,,,,,,10,"""MCRI On-X Mechanical Prosthesis"""
,,,,,,11,"""Sorin Bicarbon (Baxter Mira) Mechanical Prosthesis"""
,,,,,,12,"""Sorin Monoleaflet Allcarbon Mechanical Prosthesis"""
,,,,,,13,"""St. Jude Medical Mechanical Heart Valve"""
,,,,,,14,"""Starr-Edwards Caged-Ball Prosthesis"""
,,,,,,15,"""Ultracor Mechanical Prosthesis"""
,,,,,,19,"""Biocor Porcine Bioprosthesis"""
,,,,,,21,"""CarboMedics PhotoFix Pericardial Bioprosthesis"""
,,,,,,22,"""Carpentier-Edwards PERIMOUNT Pericardial Bioprosthesis"""
,,,,,,23,"""Carpentier-Edwards Standard Porcine Bioprosthesis"""
,,,,,,25,"""Carpentier-Edwards Supra-Annular Aortic Porcine Bioprosthesis"""
,,,,,,28,"""Hancock II Porcine Bioprosthesis"""
,,,,,,29,"""Hancock Modified Orifice Porcine Bioprosthesis"""
,,,,,,30,"""Ionescu-Shiley Pericardial Bioprosthesis"""
,,,,,,31,"""Labcor Stented Porcine Bioprosthesis"""
,,,,,,35,"""Medtronic Intact Porcine Bioprosthesis"""
,,,,,,36,"""Medtronic Mosaic Porcine Bioprosthesis"""
,,,,,,37,"""Mitroflow Pericardial Bioprosthesis"""
,,,,,,38,"""Sorin Pericarbon Stentless Pericardial Bioprosthesis"""
,,,,,,39,"""St. Jude Medical Toronto SPV Stentless Porcine Bioprosthesis"""
,,,,,,40,"""St. Jude Medical-Bioimplant Porcine Bioprosthesis"""
,,,,,,41,"""Homograft Aortic - Subcoronary"""
,,,,,,42,"""Homograft Aortic - Root"""
,,,,,,43,"""Homograft Mitral"""
,,,,,,44,"""Homograft Pulmonic Root"""
,,,,,,45,"""Pulmonary Autograft to aortic root (Ross Procedure)"""
,,,,,,46,"""Carpentier-Edwards Classic Annuloplasty Ring"""
,,,,,,47,"""Carpentier-Edwards Physio Annuloplasty System Ring"""
,,,,,,48,"""Cosgrove-Edwards Annuloplasty System Ring"""
,,,,,,49,"""Medtronic Sculptor Ring"""
,,,,,,50,"""Medtronic-Duran AnCore Ring"""
,,,,,,51,"""Sorin-Puig-Messana Ring"""
,,,,,,52,"""St. Jude Medical Séguin Annuloplasty Ring."""
,,,,,,53,"""Lillehei-Kaster Mechanical Prosthesis"""
,,,,,,54,"""OmniScience Mechanical Prosthesis"""
,,,,,,55,"""Hancock Standard Porcine Bioprosthesis"""
,,,,,,57,"""CarboMedics Carbo-Seal Ascending Aortic Valved Conduit Prosthesis"""
,,,,,,58,"""CarboMedics Carbo-Seal Valsalva Ascending Aortic Valved Conduit Prosthesis"""
,,,,,,59,"""CarboMedics Reduced Cuff Aortic Valve"""
,,,,,,60,"""CarboMedics Standard Aortic Valve"""
,,,,,,61,"""CarboMedics Top-Hat Supraannular Aortic Valve"""
,,,,,,62,"""CarboMedics OptiForm Mitral Valve"""
,,,,,,63,"""CarboMedics Standard Mitral Valve"""
,,,,,,64,"""CarboMedics Orbis Universal Valve"""
,,,,,,65,"""CarboMedics Small Adult Aortic and Mitral Valves"""
,,,,,,66,"""Medtronic ADVANTAGE Mechanical Prosthesis"""
,,,,,,67,"""St. Jude Medical Masters Series Mechanical Heart Valve"""
,,,,,,68,"""St. Jude Medical Masters Series Aortic Valve Graft Prosthesis"""
,,,,,,69,"""St. Jude Medical Mechanical Heart Valve Hemodynamic Plus (HP) Series"""
,,,,,,70,"""St. Jude Medical Masters Series Hemodynamic Plus Valve with FlexCuff Sewing Ring"""
,,,,,,71,"""St. Jude Medical Regent Valve"""
,,,,,,72,"""Edwards Prima Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,73,"""Edwards Prima Stentless Porcine Bioprosthesis - Root"""
,,,,,,74,"""Biocor Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,75,"""Biocor Stentless Porcine Bioprosthesis - Root"""
,,,,,,76,"""Carpentier-Edwards Porcine Bioprosthesis"""
,,,,,,77,"""Edwards Prima Plus Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,78,"""Edwards Prima Plus Stentless Porcine Bioprosthesis - Root"""
,,,,,,79,"""Cryolife O'Brien Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,80,"""Cryolife O'Brien Stentless Porcine Bioprosthesis - Root"""
,,,,,,81,"""Labcor Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,82,"""Labcor Stentless Porcine Bioprosthesis - Root"""
,,,,,,83,"""Medtronic Freestyle Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,84,"""Medtronic Freestyle Stentless Porcine Bioprosthesis - Root"""
,,,,,,85,"""Medtronic Contegra Bovine Jugular Bioprosthesis"""
,,,,,,86,"""St. Jude Medical Biocor Stented Tissue Valve"""
,,,,,,87,"""St. Jude Medical Epic Stented Porcine Bioprosthesis"""
,,,,,,88,"""St. Jude Medical Toronto Root Stentless Porcine Bioprosthesis"""
,,,,,,89,"""CryoLife Aortic Homograft"""
,,,,,,90,"""CryoLife Pulmonary Homograft"""
,,,,,,91,"""CryoLife CryoValve SG(Decellularized)Aortic Homograft"""
,,,,,,92,"""CryoLife CryoValve SG Pulmonary Homograft"""
,,,,,,93,"""LifeNet CV Allografts"""
,,,,,,94,"""CarboMedics AnnuloFlo Ring"""
,,,,,,95,"""CarboMedics AnnuloFlex Ring"""
,,,,,,96,"""CarboMedics CardioFix Bovine Pericardium with PhotoFix Technology"""
,,,,,,97,"""Edwards MC³ Tricuspid Annuloplasty System"""
,,,,,,98,"""Genesee Sculptor Annuloplasty Ring"""
,,,,,,99,"""St. Jude Medical Tailor Annuloplasty Ring"""
,,,,,,100,"""Medtronic Colvin Galloway Future Band"""
,,,,,,101,"""Medtronic Duran Band"""
,,,,,,102,"""Medtronic Duran - Ancore Band"""
,,,,,,103,"""Carpentier-Edwards PERIMOUNT Pericardial Magna Bioprosthesis"""
,,,,,,104,"""Carpentier-Edwards Geoform Ring"""
,,,,,,105,"""Carpentier-Edwards IMR Etlogix Ring"""
,,,,,,106,"""St. Jude Medical Rigid Saddle Ring"""
,,,,,,107,"""St. Jude Medical Tailor Annuloplasty Band"""
,,,,,,108,"""ATS 3f Aortic Bioprosthesis"""
,,,,,,109,"""ATS Simulus Flex-O Ring"""
,,,,,,110,"""ATS Simulus Flex-C Band"""
,,,,,,111,"""Carpentier-Edwards PERIMOUNT MAGNA Pericardial Bioprosthesis with Carpentier-Edwards Thermafix Tissue Process"""
,,,,,,112,"""Carpentier-Edwards PERIMOUNT Theon RSR Pericardial Bioprosthesis"""
,,,,,,113,"""Carpentier-Edwards PERIMOUNT RSR Pericardial Bioprosthesis"""
,,,,,,114,"""Carpentier-Edwards PERIMOUNT Theon Pericardial Bioprosthesis"""
,,,,,,115,"""Carpentier-Edwards S.A.V. Porcine Bioprosthesis"""
,,,,,,116,"""Edwards Prima Plus Stentless Bioprosthesis"""
,,,,,,117,"""Carpentier-Edwards PERIMOUNT Plus Pericardial Bioprosthesis with Tricentrix Holder"""
,,,,,,118,"""Carpentier-Edwards Duraflex Low Pressure Porcine Bioprosthesis"""
,,,,,,119,"""Carpentier-Edwards Duraflex Low Pressure ESR Porcine Bioprosthesis"""
,,,,,,120,"""Carpentier-Edwards PERIMOUNT Theon Pericardial Bioprosthesis with Tricentrix Holder."""
,,,,,,121,"""St. Jude Medical Biocor Supra Stented Porcine Bioprosthesis"""
,,,,,,122,"""St. Jude Medical Epic Supra Stented Porcine Bioprosthesis."""
,,,,,,123,"""ATS Simulus Flexible Annuloplasty ring."""
,,,,,,124,"""ATS Simulus Semi-Rigid Annuloplasty ring"""
,,,,,,125,"""Carpentier-Edwards Classic Annuloplasty Ring with Duraflo Treatment"""
,,,,,,126,"""Carpentier-Edwards Physio Annuloplasty Ring with Duraflo Treatment"""
,,,,,,127,"""Cosgrove-Edwards Annuloplasty System with Duraflo Treatment"""
,,,,,,128,"""Myxo Etlogix Annuloplasty Ring"""
,,,,,,131,"""Sorin Memo 3D Ring"""
,,,,,,132,"""UNIRING, Universal Annuloplasty System"""
,,,,,,133,"""Medtronic Hall Conduit"""
,,,,,,134,"""Carpentier Edwards Physio II"""
,,,,,,135,"""Carpentier Edwards Perimount Magna Mitral Valve"""
,,,,,,137,"""Medtronic Colvin Galloway Future Ring"""
,,,,,,138,"""Medtronic Profile 3D Ring"""
,,,,,,777,"""Other"""
ValExpUDI,K,,,Yes,Yes,,
,,,,,,,
ValExp2,K,,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
ValExpPos2,K,,Yes,Yes,Yes,,
,,,,,,1,"""Aortic"""
,,,,,,2,"""Mitral"""
,,,,,,3,"""Tricuspid"""
,,,,,,4,"""Pulmonic"""
ValExpTyp2,K,,Yes,Yes,Yes,,
,,,,,,-9,"""Unknown"""
,,,,,,2,"""Mechanical Valve"""
,,,,,,3,"""Bioprosthetic Valve"""
,,,,,,4,"""Annuloplasty Device"""
,,,,,,5,"""Mitral Clip"" OR ""Leaflet clip"""
,,,,,,6,"""Transcatheter Device"""
,,,,,,7,"""Homograft"""
,,,,,,9,"""Other"""
ValExpEt2,K,,,Yes,Yes,,
,,,,,,-9,"""Unknown"""
,,,,,,1,"""Endocarditis"""
,,,,,,2,"""Failed repair"""
,,,,,,3,"""Hemolysis"""
,,,,,,4,"""Incompetence"""
,,,,,,5,"""Pannus Formation"""
,,,,,,6,"""Para-valvular leak"""
,,,,,,7,"""Prosthetic deterioration"""
,,,,,,8,"""Sizing/positioning issue"""
,,,,,,9,"""Stenosis"""
,,,,,,10,"""Thrombosis"""
,,,,,,11,"""Other"""
ValExpDevKnown2,K,,,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
ValExpDev2,K,,Yes,Yes,Yes,,
,,,,,,2,"""ATS Mechanical Prosthesis"""
,,,,,,3,"""Björk-Shiley Convex-Concave Mechanical Prosthesis"""
,,,,,,4,"""Björk-Shiley Monostrut Mechanical Prosthesis"""
,,,,,,6,"""CarboMedics Mechanical Prosthesis"""
,,,,,,8,"""Medtronic-Hall/Hall Easy-Fit Mechanical Prosthesis"""
,,,,,,9,"""OmniCarbon Mechanical Prosthesis"""
,,,,,,10,"""MCRI On-X Mechanical Prosthesis"""
,,,,,,11,"""Sorin Bicarbon (Baxter Mira) Mechanical Prosthesis"""
,,,,,,12,"""Sorin Monoleaflet Allcarbon Mechanical Prosthesis"""
,,,,,,13,"""St. Jude Medical Mechanical Heart Valve"""
,,,,,,14,"""Starr-Edwards Caged-Ball Prosthesis"""
,,,,,,15,"""Ultracor Mechanical Prosthesis"""
,,,,,,19,"""Biocor Porcine Bioprosthesis"""
,,,,,,21,"""CarboMedics PhotoFix Pericardial Bioprosthesis"""
,,,,,,22,"""Carpentier-Edwards PERIMOUNT Pericardial Bioprosthesis"""
,,,,,,23,"""Carpentier-Edwards Standard Porcine Bioprosthesis"""
,,,,,,25,"""Carpentier-Edwards Supra-Annular Aortic Porcine Bioprosthesis"""
,,,,,,28,"""Hancock II Porcine Bioprosthesis"""
,,,,,,29,"""Hancock Modified Orifice Porcine Bioprosthesis"""
,,,,,,30,"""Ionescu-Shiley Pericardial Bioprosthesis"""
,,,,,,31,"""Labcor Stented Porcine Bioprosthesis"""
,,,,,,35,"""Medtronic Intact Porcine Bioprosthesis"""
,,,,,,36,"""Medtronic Mosaic Porcine Bioprosthesis"""
,,,,,,37,"""Mitroflow Pericardial Bioprosthesis"""
,,,,,,38,"""Sorin Pericarbon Stentless Pericardial Bioprosthesis"""
,,,,,,39,"""St. Jude Medical Toronto SPV Stentless Porcine Bioprosthesis"""
,,,,,,40,"""St. Jude Medical-Bioimplant Porcine Bioprosthesis"""
,,,,,,41,"""Homograft Aortic - Subcoronary"""
,,,,,,42,"""Homograft Aortic - Root"""
,,,,,,43,"""Homograft Mitral"""
,,,,,,44,"""Homograft Pulmonic Root"""
,,,,,,45,"""Pulmonary Autograft to aortic root (Ross Procedure)"""
,,,,,,46,"""Carpentier-Edwards Classic Annuloplasty Ring"""
,,,,,,47,"""Carpentier-Edwards Physio Annuloplasty System Ring"""
,,,,,,48,"""Cosgrove-Edwards Annuloplasty System Ring"""
,,,,,,49,"""Medtronic Sculptor Ring"""
,,,,,,50,"""Medtronic-Duran AnCore Ring"""
,,,,,,51,"""Sorin-Puig-Messana Ring"""
,,,,,,52,"""St. Jude Medical Séguin Annuloplasty Ring."""
,,,,,,53,"""Lillehei-Kaster Mechanical Prosthesis"""
,,,,,,54,"""OmniScience Mechanical Prosthesis"""
,,,,,,55,"""Hancock Standard Porcine Bioprosthesis"""
,,,,,,57,"""CarboMedics Carbo-Seal Ascending Aortic Valved Conduit Prosthesis"""
,,,,,,58,"""CarboMedics Carbo-Seal Valsalva Ascending Aortic Valved Conduit Prosthesis"""
,,,,,,59,"""CarboMedics Reduced Cuff Aortic Valve"""
,,,,,,60,"""CarboMedics Standard Aortic Valve"""
,,,,,,61,"""CarboMedics Top-Hat Supraannular Aortic Valve"""
,,,,,,62,"""CarboMedics OptiForm Mitral Valve"""
,,,,,,63,"""CarboMedics Standard Mitral Valve"""
,,,,,,64,"""CarboMedics Orbis Universal Valve"""
,,,,,,65,"""CarboMedics Small Adult Aortic and Mitral Valves"""
,,,,,,66,"""Medtronic ADVANTAGE Mechanical Prosthesis"""
,,,,,,67,"""St. Jude Medical Masters Series Mechanical Heart Valve"""
,,,,,,68,"""St. Jude Medical Masters Series Aortic Valve Graft Prosthesis"""
,,,,,,69,"""St. Jude Medical Mechanical Heart Valve Hemodynamic Plus (HP) Series"""
,,,,,,70,"""St. Jude Medical Masters Series Hemodynamic Plus Valve with FlexCuff Sewing Ring"""
,,,,,,71,"""St. Jude Medical Regent Valve"""
,,,,,,72,"""Edwards Prima Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,73,"""Edwards Prima Stentless Porcine Bioprosthesis - Root"""
,,,,,,74,"""Biocor Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,75,"""Biocor Stentless Porcine Bioprosthesis - Root"""
,,,,,,76,"""Carpentier-Edwards Porcine Bioprosthesis"""
,,,,,,77,"""Edwards Prima Plus Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,78,"""Edwards Prima Plus Stentless Porcine Bioprosthesis - Root"""
,,,,,,79,"""Cryolife O'Brien Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,80,"""Cryolife O'Brien Stentless Porcine Bioprosthesis - Root"""
,,,,,,81,"""Labcor Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,82,"""Labcor Stentless Porcine Bioprosthesis - Root"""
,,,,,,83,"""Medtronic Freestyle Stentless Porcine Bioprosthesis - Subcoronary"""
,,,,,,84,"""Medtronic Freestyle Stentless Porcine Bioprosthesis - Root"""
,,,,,,85,"""Medtronic Contegra Bovine Jugular Bioprosthesis"""
,,,,,,86,"""St. Jude Medical Biocor Stented Tissue Valve"""
,,,,,,87,"""St. Jude Medical Epic Stented Porcine Bioprosthesis"""
,,,,,,88,"""St. Jude Medical Toronto Root Stentless Porcine Bioprosthesis"""
,,,,,,89,"""CryoLife Aortic Homograft"""
,,,,,,90,"""CryoLife Pulmonary Homograft"""
,,,,,,91,"""CryoLife CryoValve SG(Decellularized)Aortic Homograft"""
,,,,,,92,"""CryoLife CryoValve SG Pulmonary Homograft"""
,,,,,,93,"""LifeNet CV Allografts"""
,,,,,,94,"""CarboMedics AnnuloFlo Ring"""
,,,,,,95,"""CarboMedics AnnuloFlex Ring"""
,,,,,,96,"""CarboMedics CardioFix Bovine Pericardium with PhotoFix Technology"""
,,,,,,97,"""Edwards MC³ Tricuspid Annuloplasty System"""
,,,,,,98,"""Genesee Sculptor Annuloplasty Ring"""
,,,,,,99,"""St. Jude Medical Tailor Annuloplasty Ring"""
,,,,,,100,"""Medtronic Colvin Galloway Future Band"""
,,,,,,101,"""Medtronic Duran Band"""
,,,,,,102,"""Medtronic Duran - Ancore Band"""
,,,,,,103,"""Carpentier-Edwards PERIMOUNT Pericardial Magna Bioprosthesis"""
,,,,,,104,"""Carpentier-Edwards Geoform Ring"""
,,,,,,105,"""Carpentier-Edwards IMR Etlogix Ring"""
,,,,,,106,"""St. Jude Medical Rigid Saddle Ring"""
,,,,,,107,"""St. Jude Medical Tailor Annuloplasty Band"""
,,,,,,108,"""ATS 3f Aortic Bioprosthesis"""
,,,,,,109,"""ATS Simulus Flex-O Ring"""
,,,,,,110,"""ATS Simulus Flex-C Band"""
,,,,,,111,"""Carpentier-Edwards PERIMOUNT MAGNA Pericardial Bioprosthesis with Carpentier-Edwards Thermafix Tissue Process"""
,,,,,,112,"""Carpentier-Edwards PERIMOUNT Theon RSR Pericardial Bioprosthesis"""
,,,,,,113,"""Carpentier-Edwards PERIMOUNT RSR Pericardial Bioprosthesis"""
,,,,,,114,"""Carpentier-Edwards PERIMOUNT Theon Pericardial Bioprosthesis"""
,,,,,,115,"""Carpentier-Edwards S.A.V. Porcine Bioprosthesis"""
,,,,,,116,"""Edwards Prima Plus Stentless Bioprosthesis"""
,,,,,,117,"""Carpentier-Edwards PERIMOUNT Plus Pericardial Bioprosthesis with Tricentrix Holder"""
,,,,,,118,"""Carpentier-Edwards Duraflex Low Pressure Porcine Bioprosthesis"""
,,,,,,119,"""Carpentier-Edwards Duraflex Low Pressure ESR Porcine Bioprosthesis"""
,,,,,,120,"""Carpentier-Edwards PERIMOUNT Theon Pericardial Bioprosthesis with Tricentrix Holder."""
,,,,,,121,"""St. Jude Medical Biocor Supra Stented Porcine Bioprosthesis"""
,,,,,,122,"""St. Jude Medical Epic Supra Stented Porcine Bioprosthesis."""
,,,,,,123,"""ATS Simulus Flexible Annuloplasty ring."""
,,,,,,124,"""ATS Simulus Semi-Rigid Annuloplasty ring"""
,,,,,,125,"""Carpentier-Edwards Classic Annuloplasty Ring with Duraflo Treatment"""
,,,,,,126,"""Carpentier-Edwards Physio Annuloplasty Ring with Duraflo Treatment"""
,,,,,,127,"""Cosgrove-Edwards Annuloplasty System with Duraflo Treatment"""
,,,,,,128,"""Myxo Etlogix Annuloplasty Ring"""
,,,,,,131,"""Sorin Memo 3D Ring"""
,,,,,,132,"""UNIRING, Universal Annuloplasty System"""
,,,,,,133,"""Medtronic Hall Conduit"""
,,,,,,134,"""Carpentier Edwards Physio II"""
,,,,,,135,"""Carpentier Edwards Perimount Magna Mitral Valve"""
,,,,,,137,"""Medtronic Colvin Galloway Future Ring"""
,,,,,,138,"""Medtronic Profile 3D Ring"""
,,,,,,777,"""Other"""
ValExpDevUDI,K,,,Yes,Yes,,
,,,,,,,
VSAV,K,,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
,,,,,,3,"""Yes, planned"""
,,,,,,4,"""Yes, unplanned due to surgical complication"""
,,,,,,5,"""Yes, unplanned due to unsuspected disease or anatomy"""
,,,,,,6,"""Yes, unplanned due to unsuspected disease or anatomy"""
VSAVPr,K,,Yes,Yes,Yes,,
,,,,,,1,"""Replacement"""
,,,,,,2,"""Repair / Reconstruction"""
,,,,,,3,"""Root Reconstruction with valved conduit"" OR ""Root Replacement with valved conduit (Bentall)"""
,,,,,,4,"""Replacement and insertion aortic non-valved conduit"""
,,,,,,5,"""Resuspension AV without replacement of ascending aorta"""
,,,,,,6,"""Resuspension AV with replacement of ascending aorta"""
,,,,,,7,"""Apico-aortic conduit (Aortic valve bypass)"""
,,,,,,8,"""Autograft with pulmonary valve-Ross procedure"" OR ""Autograft with pulmonary valve (Ross procedure)"""
,,,,,,9,"""Homograft"" OR ""Homograft root replacement"""
,,,,,,10,"""Valve sparing root reimplantation (David)"""
,,,,,,11,"""Valve sparing root remodeling (Yacoub)"""
,,,,,,13,"""Replacement AV and insertion aortic non-valved conduit in supra-coronary position"""
,,,,,,14,"""Replacement AV and major root reconstruction/debridement with valved conduit"""
,,,,,,15,"""Valve sparing root reconstruction (Florida Sleeve)"""
VSTCV,K,,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
VSTCVR,K,,Yes,Yes,Yes,,
,,,,,,1,"""Transapical"""
,,,,,,2,"""Transaxillary"""
,,,,,,3,"""Transfemoral"""
,,,,,,4,"""Transaortic"""
,,,,,,5,"""Subclavian"""
,,,,,,6,"""Other"""
VSAVSurgRep,K,,,,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
VSAVSurgType,K,,,,Yes,,
,,,,,,1,"""Mechanical"""
,,,,,,2,"""Bioprosthetic"""
,,,,,,3,"""Surgeon fashioned pericardium (Ozaki)"""
,,,,,,4,"""Other"""
VSAVSurgBioT,K,,,,Yes,,
,,,,,,1,"""Stented"""
,,,,,,2,"""Stentless subcoronary valve only"""
,,,,,,3,"""Sutureless/rapid deployment"""
VSAVRComA,K,,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
VSAVRExSutAn,K,,,,Yes,,
